application_id,customer_id,application_date,channel,applicant_age,employment_type,housing_status,annual_income,credit_score,risk_tier,debt_to_income_ratio,loan_purpose,loan_amount,loan_term_months,interest_rate_pct,final_stage_reached,application_status,portfolio_loan_status,outstanding_balance,total_funnel_duration_hours
APP-000067,CUST-000067,2024-09-07,Direct Web,37,Self-Employed,Rent,166121,701,Tier B (Good),0.47,Small Business,14500,36,11.71,Credit Approved,Offer Declined,Offer_Rejected,0.0,105.66
APP-000068,CUST-000068,2023-01-18,Broker Aggregator,37,Full-Time,Rent,65534,568,Tier E (Deep Subprime),0.186,Debt Consolidation,21000,60,27.55,Document Verification,Credit Declined,Declined_Credit,0.0,34.19
APP-000069,CUST-000069,2024-07-04,Direct Web,64,Unemployed,Mortgage,18000,657,Tier C (Fair),0.179,Small Business,25000,36,14.57,Disbursed,Active/Funded,Current (Good Standing),22916.67,112.99
APP-000070,CUST-000070,2024-02-01,Direct Web,52,Full-Time,Mortgage,63478,775,Tier A (Excellent),0.46,Personal,26000,36,10.09,Disbursed,Active/Funded,Current (Good Standing),20222.22,128.77
APP-000071,CUST-000071,2023-10-17,Mobile App,47,Full-Time,Mortgage,65326,778,Tier A (Excellent),0.265,Home Improvement,40500,36,8.12,Disbursed,Active/Funded,Current (Good Standing),27000.0,109.98
APP-000072,CUST-000072,2024-04-21,Direct Web,43,Contractor,Rent,19785,593,Tier D (Subprime),0.524,Small Business,28500,36,23.11,Application Submission,Doc Verification Failed,Rejected_Docs,0.0,33.84
APP-000073,CUST-000073,2023-09-15,Mobile App,54,Full-Time,Own,31966,591,Tier D (Subprime),0.261,Personal,15500,36,21.45,Document Verification,Credit Declined,Declined_Credit,0.0,49.53
APP-000074,CUST-000074,2022-03-26,Mobile App,36,Full-Time,Rent,77129,623,Tier D (Subprime),0.212,Personal,23500,60,21.38,Disbursed,Active/Funded,Default / Charge-Off (90+ DPD),12776.77,102.69
APP-000075,CUST-000075,2023-12-09,Mobile App,46,Full-Time,Mortgage,40748,737,Tier B (Good),0.455,Home Improvement,32500,60,11.3,Lead Captured,Abandoned,Incomplete,0.0,2.07
APP-000076,CUST-000076,2023-03-17,Direct Web,37,Full-Time,Rent,65281,715,Tier B (Good),0.323,Personal,11500,60,11.55,Disbursed,Active/Funded,Current (Good Standing),7858.33,83.38
APP-000077,CUST-000077,2022-09-01,Affiliate Partner,38,Full-Time,Own,54944,630,Tier D (Subprime),0.383,Debt Consolidation,16000,60,22.08,Application Submission,Doc Verification Failed,Rejected_Docs,0.0,12.05
APP-000078,CUST-000078,2022-11-29,Direct Web,39,Full-Time,Rent,59025,637,Tier D (Subprime),0.53,Home Improvement,17000,36,23.41,Document Verification,Credit Declined,Declined_Credit,0.0,39.49
APP-000079,CUST-000079,2023-04-12,Direct Web,41,Full-Time,Rent,62571,644,Tier C (Fair),0.375,Debt Consolidation,6000,60,15.91,Document Verification,Credit Declined,Declined_Credit,0.0,47.82
APP-000080,CUST-000080,2022-05-08,Mobile App,36,Unemployed,Rent,20758,572,Tier E (Deep Subprime),0.268,Debt Consolidation,32000,60,28.62,Disbursed,Active/Funded,Default / Charge-Off (90+ DPD),24253.84,102.67
APP-000081,CUST-000081,2023-07-15,Mobile App,27,Part-Time,Mortgage,32498,786,Tier A (Excellent),0.365,Debt Consolidation,21500,60,8.49,Application Submission,Doc Verification Failed,Rejected_Docs,0.0,14.15
APP-000082,CUST-000082,2023-04-22,Mobile App,30,Full-Time,Rent,94705,821,Tier A (Excellent),0.222,Debt Consolidation,19500,36,8.58,Disbursed,Active/Funded,Current (Good Standing),9750.0,134.71
APP-000083,CUST-000083,2022-12-27,Mobile App,58,Contractor,Own,23358,611,Tier D (Subprime),0.537,Debt Consolidation,19500,36,23.23,Application Submission,Doc Verification Failed,Rejected_Docs,0.0,27.7
APP-000084,CUST-000084,2023-11-22,Affiliate Partner,29,Full-Time,Own,54880,656,Tier C (Fair),0.253,Debt Consolidation,11500,60,15.97,Disbursed,Active/Funded,Current (Good Standing),9391.67,78.85
APP-000085,CUST-000085,2024-08-11,Mobile App,35,Part-Time,Rent,38346,714,Tier B (Good),0.257,Debt Consolidation,11500,36,10.87,Lead Captured,Abandoned,Incomplete,0.0,1.56
APP-000086,CUST-000086,2023-03-24,Mobile App,32,Self-Employed,Rent,69247,711,Tier B (Good),0.291,Home Improvement,30500,36,11.19,Disbursed,Active/Funded,Current (Good Standing),14402.78,91.91
APP-000087,CUST-000087,2024-07-24,Mobile App,37,Full-Time,Mortgage,42833,685,Tier C (Fair),0.155,Debt Consolidation,21000,36,15.48,Document Verification,Credit Declined,Declined_Credit,0.0,47.52
APP-000088,CUST-000088,2024-05-10,Affiliate Partner,45,Part-Time,Mortgage,37212,574,Tier E (Deep Subprime),0.277,Debt Consolidation,16500,36,29.17,Application Submission,Doc Verification Failed,Rejected_Docs,0.0,35.92
APP-000089,CUST-000089,2023-09-04,Mobile App,31,Full-Time,Mortgage,74694,690,Tier C (Fair),0.552,Home Improvement,14000,36,16.38,Credit Approved,Offer Declined,Offer_Rejected,0.0,90.48
APP-000090,CUST-000090,2022-10-14,Broker Aggregator,29,Full-Time,Rent,172552,692,Tier C (Fair),0.564,Personal,40500,36,16.85,Document Verification,Credit Declined,Declined_Credit,0.0,40.21
APP-000091,CUST-000091,2024-10-12,Mobile App,32,Self-Employed,Mortgage,39427,701,Tier B (Good),0.09,Auto Refinance,15500,36,10.49,Lead Captured,Abandoned,Incomplete,0.0,2.29
APP-000092,CUST-000092,2022-10-02,Direct Web,41,Full-Time,Mortgage,43724,691,Tier C (Fair),0.286,Personal,17000,36,16.06,Document Verification,Credit Declined,Declined_Credit,0.0,57.43
APP-000093,CUST-000093,2023-11-13,Broker Aggregator,50,Contractor,Mortgage,18000,679,Tier C (Fair),0.395,Personal,21500,60,15.96,Credit Approved,Offer Declined,Offer_Rejected,0.0,90.54
APP-000094,CUST-000094,2024-01-30,Affiliate Partner,61,Self-Employed,Mortgage,75502,668,Tier C (Fair),0.221,Personal,13000,36,15.09,Application Submission,Doc Verification Failed,Rejected_Docs,0.0,27.0
APP-000095,CUST-000095,2024-09-27,Mobile App,46,Self-Employed,Mortgage,77122,752,Tier A (Excellent),0.518,Home Improvement,8000,36,9.62,Disbursed,Active/Funded,Current (Good Standing),7777.78,126.3
APP-000096,CUST-000096,2022-01-14,Direct Web,47,Self-Employed,Rent,42570,654,Tier C (Fair),0.199,Debt Consolidation,36000,36,14.62,Disbursed,Active/Funded,Current (Good Standing),3000.0,101.85
APP-000097,CUST-000097,2023-04-08,Direct Web,48,Unemployed,Rent,18753,695,Tier C (Fair),0.198,Small Business,9500,60,15.32,Application Submission,Doc Verification Failed,Rejected_Docs,0.0,39.07
APP-000098,CUST-000098,2023-04-16,Affiliate Partner,25,Full-Time,Mortgage,109779,848,Tier A (Excellent),0.377,Small Business,16000,36,9.14,Credit Approved,Offer Declined,Offer_Rejected,0.0,75.99
APP-000099,CUST-000099,2024-02-26,Broker Aggregator,41,Self-Employed,Rent,44293,675,Tier C (Fair),0.209,Personal,37500,60,15.79,Disbursed,Active/Funded,Current (Good Standing),32500.0,82.52
APP-000100,CUST-000100,2023-08-28,Direct Web,53,Full-Time,Rent,80583,665,Tier C (Fair),0.372,Home Improvement,4500,60,15.93,Disbursed,Active/Funded,Current (Good Standing),3450.0,66.75
APP-000101,CUST-000101,2024-02-28,Affiliate Partner,46,Self-Employed,Rent,70900,677,Tier C (Fair),0.366,Debt Consolidation,15000,36,15.4,Disbursed,Active/Funded,Current (Good Standing),11666.67,96.73
APP-000102,CUST-000102,2024-03-21,Affiliate Partner,45,Full-Time,Mortgage,38687,850,Tier A (Excellent),0.25,Debt Consolidation,15500,60,9.0,Document Verification,Credit Declined,Declined_Credit,0.0,36.94
APP-000103,CUST-000103,2023-02-14,Affiliate Partner,45,Full-Time,Rent,108716,661,Tier C (Fair),0.385,Personal,14500,36,16.34,Disbursed,Active/Funded,Current (Good Standing),6444.44,142.29
APP-000104,CUST-000104,2022-06-24,Mobile App,45,Full-Time,Rent,62161,561,Tier E (Deep Subprime),0.07,Personal,16000,60,26.98,Disbursed,Active/Funded,Default / Charge-Off (90+ DPD),9875.95,123.25
APP-000105,CUST-000105,2023-08-29,Direct Web,33,Contractor,Mortgage,18000,756,Tier A (Excellent),0.193,Auto Refinance,25500,60,7.54,Disbursed,Active/Funded,Current (Good Standing),19550.0,100.2
APP-000106,CUST-000106,2024-05-23,Mobile App,39,Full-Time,Rent,39856,740,Tier B (Good),0.232,Home Improvement,18500,36,11.07,Disbursed,Active/Funded,Current (Good Standing),15930.56,83.33
APP-000107,CUST-000107,2023-10-04,Mobile App,23,Full-Time,Rent,67937,587,Tier D (Subprime),0.282,Debt Consolidation,11500,36,21.21,Document Verification,Credit Declined,Declined_Credit,0.0,41.94
APP-000108,CUST-000108,2024-05-16,Mobile App,34,Full-Time,Other,58868,721,Tier B (Good),0.4,Debt Consolidation,19000,36,12.12,Lead Captured,Abandoned,Incomplete,0.0,1.99
APP-000109,CUST-000109,2024-02-26,Mobile App,31,Full-Time,Rent,69378,695,Tier C (Fair),0.326,Home Improvement,14000,60,15.34,Disbursed,Active/Funded,Default / Charge-Off (90+ DPD),9042.03,134.01
APP-000110,CUST-000110,2024-05-20,Affiliate Partner,40,Full-Time,Other,51043,712,Tier B (Good),0.202,Small Business,42000,36,10.27,Disbursed,Active/Funded,Current (Good Standing),36166.67,143.33
APP-000111,CUST-000111,2022-12-11,Mobile App,54,Contractor,Rent,20650,599,Tier D (Subprime),0.29,Personal,25500,36,21.26,Application Submission,Doc Verification Failed,Rejected_Docs,0.0,31.7
APP-000112,CUST-000112,2022-10-19,Mobile App,53,Full-Time,Rent,55088,746,Tier B (Good),0.275,Personal,37000,60,11.12,Application Submission,Doc Verification Failed,Rejected_Docs,0.0,10.38
APP-000113,CUST-000113,2022-05-10,Broker Aggregator,34,Self-Employed,Rent,69983,734,Tier B (Good),0.447,Debt Consolidation,33500,36,11.28,Application Submission,Doc Verification Failed,Rejected_Docs,0.0,7.88
APP-000114,CUST-000114,2024-06-22,Mobile App,22,Unemployed,Own,32068,788,Tier A (Excellent),0.146,Auto Refinance,10000,60,7.55,Disbursed,Active/Funded,Current (Good Standing),9333.33,88.0
APP-000115,CUST-000115,2022-09-29,Mobile App,53,Full-Time,Mortgage,72170,782,Tier A (Excellent),0.327,Debt Consolidation,29500,36,8.53,Lead Captured,Abandoned,Incomplete,0.0,0.63
APP-000116,CUST-000116,2022-10-20,Mobile App,42,Full-Time,Mortgage,22471,770,Tier A (Excellent),0.24,Debt Consolidation,18500,36,7.8,Disbursed,Active/Funded,Current (Good Standing),6166.67,113.42
APP-000117,CUST-000117,2023-08-07,Affiliate Partner,32,Part-Time,Mortgage,22388,649,Tier C (Fair),0.365,Personal,14000,60,15.46,Application Submission,Doc Verification Failed,Rejected_Docs,0.0,23.33
APP-000118,CUST-000118,2023-10-11,Mobile App,21,Full-Time,Rent,34458,705,Tier B (Good),0.33,Small Business,28500,60,11.46,Disbursed,Active/Funded,Current (Good Standing),22800.0,94.61
APP-000119,CUST-000119,2023-11-01,Affiliate Partner,32,Full-Time,Mortgage,30795,564,Tier E (Deep Subprime),0.163,Debt Consolidation,15500,36,27.46,Application Submission,Doc Verification Failed,Rejected_Docs,0.0,12.08
APP-000120,CUST-000120,2022-12-08,Affiliate Partner,42,Self-Employed,Mortgage,122883,597,Tier D (Subprime),0.383,Home Improvement,14500,36,22.05,Document Verification,Credit Declined,Declined_Credit,0.0,46.11
APP-000121,CUST-000121,2022-08-25,Direct Web,27,Part-Time,Mortgage,43479,693,Tier C (Fair),0.489,Debt Consolidation,18000,60,16.26,Lead Captured,Abandoned,Incomplete,0.0,1.35
APP-000122,CUST-000122,2024-02-03,Direct Web,28,Full-Time,Rent,30178,787,Tier A (Excellent),0.152,Home Improvement,28000,60,7.68,Disbursed,Active/Funded,Current (Good Standing),24266.67,100.86
APP-000123,CUST-000123,2023-05-18,Direct Web,37,Full-Time,Rent,31941,670,Tier C (Fair),0.18,Auto Refinance,15500,36,15.08,Application Submission,Doc Verification Failed,Rejected_Docs,0.0,7.94
APP-000124,CUST-000124,2022-07-10,Affiliate Partner,50,Full-Time,Own,47704,602,Tier D (Subprime),0.251,Personal,23500,60,20.84,Credit Approved,Offer Declined,Offer_Rejected,0.0,117.15
APP-000125,CUST-000125,2024-07-16,Direct Web,41,Self-Employed,Rent,62387,717,Tier B (Good),0.05,Personal,13500,60,9.84,Disbursed,Active/Funded,Current (Good Standing),12825.0,150.03
APP-000126,CUST-000126,2024-03-22,Direct Web,31,Unemployed,Mortgage,19540,679,Tier C (Fair),0.229,Home Improvement,19000,36,14.79,Disbursed,Active/Funded,Default / Charge-Off (90+ DPD),9290.77,83.32
APP-000127,CUST-000127,2024-06-27,Affiliate Partner,41,Self-Employed,Mortgage,142938,671,Tier C (Fair),0.298,Personal,17500,60,15.2,Application Submission,Doc Verification Failed,Rejected_Docs,0.0,13.79
APP-000128,CUST-000128,2023-05-19,Affiliate Partner,25,Full-Time,Mortgage,46374,596,Tier D (Subprime),0.153,Debt Consolidation,14500,36,21.54,Document Verification,Credit Declined,Declined_Credit,0.0,67.43
APP-000129,CUST-000129,2024-03-06,Mobile App,34,Full-Time,Rent,52364,813,Tier A (Excellent),0.245,Personal,12000,36,8.57,Disbursed,Active/Funded,Current (Good Standing),9666.67,173.89
APP-000130,CUST-000130,2022-12-27,Mobile App,33,Full-Time,Rent,69027,642,Tier C (Fair),0.293,Personal,37000,60,15.66,Credit Approved,Offer Declined,Offer_Rejected,0.0,66.03
APP-000131,CUST-000131,2022-12-30,Direct Web,41,Full-Time,Rent,55935,708,Tier B (Good),0.488,Small Business,24500,36,11.87,Disbursed,Active/Funded,Current (Good Standing),9527.78,143.65
